id,artist,name,duration,bpm,mood,score
4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep;XXXTENTACION,Falling Down - Bonus Track,3.27,120.013,energik,81
3o7TMr6RmIusYH7Kkg7ujR,Korn,Coming Undone,3.33,75.052,relaksasi,75
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,4.1,99.968,fokus,94
3UmaczJpikHgJFyBTAJVoz,Eminem;Dido,Stan,6.74,80.063,fokus,85
086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,2.69,92.004,fokus,88
1Eolhana7nKHYpcYpdVcT5,Jimi Hendrix,Little Wing,2.43,70.776,relaksasi,71
0QQIhT6PtJ5glyn4HKNKQ6,KALEO,All the Pretty Girls,4.5,74.747,relaksasi,70
6VObnIkLVruX4UVyxWhlqm,Adele,Skyfall,4.77,75.881,relaksasi,78
6VBhH7CyP56BXjp8VsDFPZ,Pritam;Arijit Singh;Amitabh Bhattacharya,"Kesariya (From ""Brahmastra"")",4.47,94.009,fokus,88
60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,3.61,105.143,fokus,85
2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,3.44,93.986,fokus,86
2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,5.0,97.512,fokus,83
6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,3.57,104.97,fokus,83
0WtM2NBVQNNJLh6scP13H8,Rema;Selena Gomez,Calm Down (with Selena Gomez),3.99,106.999,fokus,92
5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,4.79,130.001,energik,86
5fhcuVxuBWfgNXGuyAtLmr,Piso 21;Manuel Turizo,Los Cachos,3.54,91.966,fokus,85
7pKfPomDEeI4TPT6EOYjn9,John Lennon,Imagine - Remastered 2010,3.13,75.752,relaksasi,77
3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,4.54,75.098,relaksasi,74
58UKC45GPNTflCN6nwCUeF,Walker Hayes,Fancy Like,2.7,79.994,relaksasi,77
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,4.54,85.03,fokus,88
2DgdHcjWmO3qd50RzuBLgZ,Panic! At The Disco,House of Memories,3.48,109.952,fokus,85
5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,3.78,120.001,energik,88
5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3.82,100.607,fokus,88
7GNRUsU3M4XNDDB9xle5Dz,PSY;SUGA,That That (prod. & feat. SUGA of BTS),2.91,129.969,energik,81
7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,You Get Me So High,2.55,88.036,fokus,83
4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,Lights Are On,3.23,135.965,energik,81
3rb0tMq42WfggucPm0HHkA,MEDUZA;James Carter;Elley Duhé;FAST BOY,Bad Memories (feat. Elley Duhé & FAST BOY),2.48,123.998,energik,85
6rrKbzJGGDlSZgLphopS49,The Score,Unstoppable,3.2,78.001,relaksasi,73
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,4.34,85.012,fokus,87
0loZn1c5heXie7OAtvK6nH,Jubin Nautiyal;Rocky - Shiv,Humnava Mere,5.48,79.144,relaksasi,72
5GF0X7GdNmnouKcdhhRmtm,Paulo Londra;Duki,Party en el Barrio (feat. Duki),3.94,135.026,energik,83
31AOj9sFz2gM0O3hMARRBx,R.E.M.,Losing My Religion,4.47,125.639,energik,84
3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,4.03,128.945,energik,83
4QxDOjgpYtQDxxbWPuEJOy,Nat King Cole,L-O-V-E,2.59,78.231,relaksasi,71
29d0nY7TzCoi22XBqDQkiP,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,5.01,108.296,fokus,85
0E0DRHf5PfMeor0ZCwB3oT,Bad Bunny;The Marías,Otro Atardecer,4.07,108.02,fokus,85
1cKHdTo9u0ZymJdPGSh6nq,The Weeknd;Gesaffelstein,I Was Never There,4.02,113.26,fokus,90
3sa06xVNmLLYIxdNNmVQN8,Jax Jones;MNEK,Where Did You Go? (feat. MNEK),2.96,127.034,energik,83
0GONea6G2XdnHWjNZd6zt3,Bryan Adams,Summer Of '69,3.6,139.131,energik,82
6Dy1jexKYriXAVG6evyUTJ,Joel Corry;Jax Jones;Charli XCX;Saweetie,OUT OUT (feat. Charli XCX & Saweetie),2.71,123.97,energik,81
5l6hpyTGBK0LAAxgPnqTQL,The Fray,Look After You,4.45,78.039,relaksasi,71
5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,2.0,139.999,energik,87
07UDTaRYJAsIhUZTyZSUzM,Huma,Ons,3.22,76.153,relaksasi,71
2tTmW7RDtMQtBk7m2rYeSw,Bizarrap;Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52",3.32,128.033,energik,99
0GjEhVFGZW8afUYGChu3Rr,ABBA,Dancing Queen,3.84,100.804,fokus,83
6m1TWFMeon7ai9XLOzdbiR,BTS,FAKE LOVE,4.04,77.502,relaksasi,76
62AuGbAkt8Ox2IrFFb8GKV,Neil Diamond,Sweet Caroline,3.39,63.05,relaksasi,78
2Fv2injs4qAm8mJBGaxVKU,Arijit Singh;Mithoon,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",4.75,70.368,relaksasi,72
0Be7sopyKMv8Y8npsUkax2,Sebastian Yatra,Tacones Rojos,3.16,123.031,energik,81
4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny;Rauw Alejandro,Party,3.79,97.013,fokus,90
3gdewACMIVMEWVbyb8O9sY,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",4.69,136.571,energik,81
4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,2.81,121.932,energik,86
0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,Sunsetz,3.59,75.37,relaksasi,78
3kNVYo6BJE9AENxzokM9YC,Calle 13,Muerte En Hawaii,3.16,79.989,relaksasi,71
2TDyyEBasw10wu5Uh94bR1,Rauw Alejandro;Baby Rasta,PUNTO 40,3.18,106.972,fokus,85
1Omt5bfz1tZUCqd26HxbS0,Leon Bridges,Beyond,4.01,76.014,relaksasi,73
40KuvsFD0zpUFuCcmt5Xm0,XXXTENTACION,Ex Bitch,2.03,78.99,relaksasi,73
7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!,2.11,139.059,energik,82
6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Me Porto Bonito,2.98,92.005,fokus,97
5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,2.95,93.05,fokus,87
